"","data_source","signal","geo_value","time_value","issue","lag","value","stderr","sample_size"
"126","fb-survey","smoothed_cli","mn",2020-05-03,2020-09-03,123,0.4161291,0.0596293,8219.8592
"127","fb-survey","smoothed_cli","mo",2020-05-03,2020-09-03,123,0.557737,0.0692964,8430.4126
"128","fb-survey","smoothed_cli","ms",2020-05-03,2020-09-03,123,0.411372,0.0702863,5181.357
"129","fb-survey","smoothed_cli","mt",2020-05-03,2020-09-03,123,0.5439817,0.135594,2638.4183
"130","fb-survey","smoothed_cli","nc",2020-05-03,2020-09-03,123,0.4437208,0.0408157,20038.0279
"131","fb-survey","smoothed_cli","nd",2020-05-03,2020-09-03,123,0.4770847,0.1576026,1619.7102
"132","fb-survey","smoothed_cli","ne",2020-05-03,2020-09-03,123,0.3527304,0.0744235,4182.2561
"133","fb-survey","smoothed_cli","nh",2020-05-03,2020-09-03,123,0.5200202,0.0964679,3837
"134","fb-survey","smoothed_cli","nj",2020-05-03,2020-09-03,123,0.6617622,0.0611067,12795.9965
"135","fb-survey","smoothed_cli","nm",2020-05-03,2020-09-03,123,0.6105578,0.1230418,3119.6087
"136","fb-survey","smoothed_cli","nv",2020-05-03,2020-09-03,123,0.421958,0.0881822,3762.4266
"137","fb-survey","smoothed_cli","ny",2020-05-03,2020-09-03,123,0.5513862,0.0356248,32292.0014
"138","fb-survey","smoothed_cli","oh",2020-05-03,2020-09-03,123,0.4817179,0.0383809,24362.0018
"139","fb-survey","smoothed_cli","ok",2020-05-03,2020-09-03,123,0.4670985,0.0712237,6905.2215
"140","fb-survey","smoothed_cli","or",2020-05-03,2020-09-03,123,0.5197974,0.0726925,7301.9125
"141","fb-survey","smoothed_cli","pa",2020-05-03,2020-09-03,123,0.3963401,0.031174,30620.0162
"142","fb-survey","smoothed_cli","ri",2020-05-03,2020-09-03,123,0.4049723,0.1178799,2279.96
"143","fb-survey","smoothed_cli","sc",2020-05-03,2020-09-03,123,0.4035044,0.0491281,11039.0078
"144","fb-survey","smoothed_cli","sd",2020-05-03,2020-09-03,123,0.7678634,0.179061,1875.2249
"145","fb-survey","smoothed_cli","tn",2020-05-03,2020-09-03,123,0.5593762,0.0632921,10217.7307
"146","fb-survey","smoothed_cli","tx",2020-05-03,2020-09-03,123,0.4452599,0.0288321,39467.8673
"147","fb-survey","smoothed_cli","ut",2020-05-03,2020-09-03,123,0.4719141,0.0813805,5139.7264
"148","fb-survey","smoothed_cli","va",2020-05-03,2020-09-03,123,0.42929,0.0415874,16428.4751
"149","fb-survey","smoothed_cli","vt",2020-05-03,2020-09-03,123,0.5175597,0.1662781,1623.0012
"150","fb-survey","smoothed_cli","wa",2020-05-03,2020-09-03,123,0.4446235,0.0531287,12354.8091
"151","fb-survey","smoothed_cli","wi",2020-05-03,2020-09-03,123,0.3925133,0.0509281,10672.9569
"152","fb-survey","smoothed_cli","wv",2020-05-03,2020-09-03,123,0.4307625,0.0818841,4834.692
"153","fb-survey","smoothed_cli","wy",2020-05-03,2020-09-03,123,0.6941628,0.2144125,1369.6449
"154","fb-survey","smoothed_cli","ak",2020-05-04,2020-09-03,122,0.2920698,0.1261709,1516
"155","fb-survey","smoothed_cli","al",2020-05-04,2020-09-03,122,0.6220948,0.0785596,7272.232
"156","fb-survey","smoothed_cli","ar",2020-05-04,2020-09-03,122,0.6853892,0.100737,4697.9703
"157","fb-survey","smoothed_cli","az",2020-05-04,2020-09-03,122,0.4628682,0.0562122,10679.7819
"158","fb-survey","smoothed_cli","ca",2020-05-04,2020-09-03,122,0.3180529,0.0218896,49413.9881
"159","fb-survey","smoothed_cli","co",2020-05-04,2020-09-03,122,0.591637,0.065151,9690.0873
"160","fb-survey","smoothed_cli","ct",2020-05-04,2020-09-03,122,0.5320586,0.0675175,8314
"161","fb-survey","smoothed_cli","dc",2020-05-04,2020-09-03,122,0.4899826,0.263172,656
"162","fb-survey","smoothed_cli","de",2020-05-04,2020-09-03,122,0.4916548,0.122179,2554.0073
"163","fb-survey","smoothed_cli","fl",2020-05-04,2020-09-03,122,0.3930891,0.0284942,36416.0004
"164","fb-survey","smoothed_cli","ga",2020-05-04,2020-09-03,122,0.5230308,0.051561,14077.8248
"165","fb-survey","smoothed_cli","hi",2020-05-04,2020-09-03,122,0.3896048,0.1160327,1951
"166","fb-survey","smoothed_cli","ia",2020-05-04,2020-09-03,122,0.5317684,0.0681217,7818.7933
